plate003.bin 30 18.8 250 2 8 0000/00/00	00:00:00 
plate003.bin 30 0.34 250 0.2 1 0000/00/00	00:00:00 
plate003.bin 30 18.8 250 0.2 150 0000/00/00	00:00:00 
plate003.bin 30 18.8 250 0.02 716 0000/00/00	00:00:00 
plate003.bin 30 18.8 250 0.002 1515 0000/00/00	00:00:00 
plate003.bin 30 0.34 250 0.02 1548 0000/00/00	00:00:00 
plate003.bin 30 18.8 250 0.0002 3120 0000/00/00	00:00:01 
plate003.bin 30 18.8 250 2e-05 5472 0000/00/00	00:00:01 
plate003.bin 30 18.8 250 2e-06 7988 0000/00/00	00:00:02 
plate003.bin 30 18.8 250 2e-07 10508 0000/00/00	00:00:02 
plate003.bin 30 18.8 250 2e-08 13027 0000/00/00	00:00:02 
plate003.bin 30 0.34 250 0.002 14287 0000/00/00	00:00:03 
plate003.bin 30 18.8 250 2e-10 18072 0000/00/00	00:00:03 
plate003.bin 30 18.8 250 2e-09 15548 0000/00/00	00:00:03 
plate003.bin 30 18.8 250 2e-11 20601 0000/00/00	00:00:03 
plate003.bin 30 18.8 250 2e-12 23136 0000/00/00	00:00:03 
plate003.bin 30 18.8 250 2e-13 25667 0000/00/00	00:00:03 
plate003.bin 30 0.34 250 0.0002 49772 0000/00/00	00:00:06 
plate003.bin 30 0.34 250 2e-05 99035 0000/00/00	00:00:11 
plate003.bin 30 0.34 250 2e-06 204083 0000/00/00	00:00:19 
plate003.bin 30 0.34 250 2e-07 338234 0000/00/00	00:00:33 
plate003.bin 30 0.34 250 2e-08 477708 0000/00/00	00:00:43 
plate003.bin 30 0.34 250 2e-09 617100 0000/00/00	00:00:54 
plate003.bin 30 0.34 250 2e-10 756437 0000/00/00	00:01:05 
plate003.bin 30 0.34 250 2e-11 895918 0000/00/00	00:01:19 
plate003.bin 30 0.34 250 2e-12 1.03568e+06 0000/00/00	00:01:28 
plate003.bin 30 0.34 250 2e-13 1.17526e+06 0000/00/00	00:01:39 
plate003.bin 30 0.34 250 0.2 1 0000/00/00	00:00:00 
plate003.bin 30 18.8 250 2 8 0000/00/00	00:00:00 
plate003.bin 30 18.8 250 0.2 150 0000/00/00	00:00:00 
plate003.bin 30 18.8 250 0.02 716 0000/00/00	00:00:01 
plate003.bin 30 18.8 250 0.002 1515 0000/00/00	00:00:01 
plate003.bin 30 0.34 250 0.02 1548 0000/00/00	00:00:01 
plate003.bin 30 18.8 250 0.0002 3120 0000/00/00	00:00:01 
plate003.bin 30 18.8 250 2e-06 7988 0000/00/00	00:00:02 
plate003.bin 30 18.8 250 2e-05 5472 0000/00/00	00:00:02 
plate003.bin 30 18.8 250 2e-07 10508 0000/00/00	00:00:03 
plate003.bin 30 18.8 250 2e-08 13027 0000/00/00	00:00:03 
plate003.bin 30 0.34 250 0.002 14287 0000/00/00	00:00:03 
plate003.bin 30 18.8 250 2e-10 18072 0000/00/00	00:00:03 
plate003.bin 30 18.8 250 2e-09 15548 0000/00/00	00:00:03 
plate003.bin 30 18.8 250 2e-12 23136 0000/00/00	00:00:04 
plate003.bin 30 18.8 250 2e-13 25667 0000/00/00	00:00:04 
plate003.bin 30 18.8 250 2e-11 20601 0000/00/00	00:00:04 
plate003.bin 30 0.34 250 0.2 1 0000/00/00	00:00:00 
plate003.bin 30 18.8 250 2 8 0000/00/00	00:00:00 
plate003.bin 30 18.8 250 0.2 150 0000/00/00	00:00:00 
plate003.bin 30 18.8 250 0.02 716 0000/00/00	00:00:00 
plate003.bin 30 18.8 250 0.002 1515 0000/00/00	00:00:00 
plate003.bin 30 0.34 250 0.02 1548 0000/00/00	00:00:01 
plate003.bin 30 18.8 250 0.0002 3120 0000/00/00	00:00:01 
plate003.bin 30 18.8 250 2e-05 5472 0000/00/00	00:00:01 
plate003.bin 30 18.8 250 2e-06 7988 0000/00/00	00:00:01 
plate003.bin 30 18.8 250 2e-07 10508 0000/00/00	00:00:02 
plate003.bin 30 0.34 250 0.002 14287 0000/00/00	00:00:02 
plate003.bin 30 18.8 250 2e-09 15548 0000/00/00	00:00:03 
plate003.bin 30 18.8 250 2e-08 13027 0000/00/00	00:00:03 
plate003.bin 30 18.8 250 2e-10 18072 0000/00/00	00:00:03 
plate003.bin 30 18.8 250 2e-11 20601 0000/00/00	00:00:03 
plate003.bin 30 18.8 250 2e-12 23136 0000/00/00	00:00:04 
plate003.bin 30 18.8 250 2e-13 25667 0000/00/00	00:00:05 
plate003.bin 30 0.34 250 0.0002 49772 0000/00/00	00:00:06 
plate003.bin 30 0.34 250 2e-05 99035 0000/00/00	00:00:11 
plate003.bin 30 0.34 250 2e-06 204083 0000/00/00	00:00:20 
plate003.bin 30 0.34 250 2e-07 338234 0000/00/00	00:00:32 
plate003.bin 30 0.34 250 2e-08 477708 0000/00/00	00:00:43 
plate003.bin 30 0.34 250 2e-09 617100 0000/00/00	00:00:54 
plate003.bin 30 0.34 250 2e-10 756437 0000/00/00	00:01:05 
plate003.bin 30 0.34 250 2e-11 895918 0000/00/00	00:01:18 
plate003.bin 30 0.34 250 2e-12 1.03568e+06 0000/00/00	00:01:27 
plate003.bin 30 0.34 250 2e-13 1.17526e+06 0000/00/00	00:01:39 
